seed,batch_label,spearman,nrmse,evals_desde_reinicio_train_fin
40,61-80%,0.5088043758721752,17.811484363610678,15104
41,1-20%,0.4431019473240779,26.252404997251187,2751
41,21-40%,0.27355491263819653,41.67964881997369,7602
41,41-60%,0.29630942279637695,38.22727517751858,11103
41,61-80%,0.44356664734266593,27.528366334238857,15054
42,1-20%,0.20419814832792596,17.185163788557915,1601
42,21-40%,0.2474230194329208,35.277763877730386,6102
42,41-60%,0.19987242847489717,14.210636426352965,10353
42,61-80%,0.5358723727948949,18.99573815206429,14704
43,1-20%,0.2033913291596532,61.61913275155039,2001
43,21-40%,0.19507920079516805,19.224028307040445,5602
43,41-60%,0.24962707680108312,25.484443778162042,10253
43,61-80%,0.476075523491021,36.750072533330204,15054
44,1-20%,0.29866397226655894,20.14542401935094,3001
44,21-40%,0.27818575352743014,36.77666163601896,6902
44,41-60%,0.2553718695748748,22.483439226904743,11303
44,61-80%,0.5508052443362099,50.9067368253126,305
45,1-20%,0.42962809257712375,23.897847975457463,2051
45,21-40%,0.3284918219396729,34.587113592222565,6702
45,41-60%,0.15708727866749117,39.66239511422455,10953
45,61-80%,0.3747678755667151,21.520302669921247,15304
46,1-20%,0.19988484597939385,19.446351329608486,2351
46,21-40%,0.2387986557599463,60.808609659309475,7202
46,41-60%,0.21888376225935052,25.428480975619443,11903
46,61-80%,0.45328569915542805,27.641439211460455,55
47,1-20%,0.10028115588324624,30.301280031008144,2051
47,21-40%,0.22727452873898119,25.059131346858557,6002
47,41-60%,0.1980834397953376,27.788500045300513,9953
47,61-80%,0.5171243886209755,18.379715830275014,14704
48,1-20%,0.3466151523286061,36.118324780097566,2901
48,21-40%,0.26373867483754704,25.227368003446937,7252
48,41-60%,0.23057322643892908,22.2205828580131,10753
48,61-80%,0.5512082338243294,29.333665017441685,15304
49,21-40%,0.5152468961938759,39.75493219868901,15451
49,41-60%,0.4511221359328855,42.72311776534968,3653
49,61-80%,0.2500848020353921,39.417183958256686,7504
50,1-20%,0.24623743772149756,23.956925324273133,2701
50,21-40%,0.22636229043049166,19.66099440450327,6702
50,41-60%,0.13512032700481308,22.885977233988733,10203
