ok,config_id,algoritmo,funcion,seed,batch_train,kernel,epsilon,smoothing,neighbors,degree,spearman,nrmse,nmae,elapsed_s,warnings,error,n_train,n_val
True,34,shade,f22,1,1,linear,0.1,1.0,25,-1,-0.31767344183604596,0.0018121246826251734,0.0015827178774774334,0.0034020841121673584,,,800,200
True,34,shade,f22,1,2,linear,0.1,1.0,25,-1,-0.4118757968949224,0.0037016567307417065,0.0020329115458644297,0.003195999888703227,,,800,200
True,34,shade,f22,1,3,linear,0.1,1.0,25,-1,-0.5248931223280582,0.0019424132979042957,0.001812972345967613,0.0036334169562906027,,,800,200
True,34,shade,f22,1,4,linear,0.1,1.0,25,-1,-0.5249666241656042,0.002111184605022515,0.001999948787621184,0.003740499960258603,,,800,200
True,35,shade,f22,1,1,linear,0.1,1.0,50,-1,-0.14110402760069005,0.0018120232366101187,0.0015816625662293065,0.007077208021655679,,,800,200
True,35,shade,f22,1,2,linear,0.1,1.0,50,-1,-0.18160354008850224,0.0037960475621834993,0.0020399629896219445,0.006889916956424713,,,800,200
True,35,shade,f22,1,3,linear,0.1,1.0,50,-1,-0.4346778669466737,0.001950573671848561,0.0018192790582948677,0.007351707899942994,,,800,200
True,35,shade,f22,1,4,linear,0.1,1.0,50,-1,-0.2803960099002476,0.002125179341530821,0.0020123523453093265,0.007415249943733215,,,800,200
True,36,shade,f22,1,1,linear,0.1,1.0,100,-1,0.002665566639165992,0.0018129504405465507,0.001579666553629689,0.015955666080117226,,,800,200
True,36,shade,f22,1,2,linear,0.1,1.0,100,-1,0.0019650491262281616,0.003830038889222342,0.0020357668348772277,0.01572000002488494,,,800,200
True,36,shade,f22,1,3,linear,0.1,1.0,100,-1,-0.031938798469961754,0.0019528202548264734,0.0018204229943799362,0.016384375048801303,,,800,200
True,36,shade,f22,1,4,linear,0.1,1.0,100,-1,0.1721323033075827,0.002129890483298163,0.002014825649561983,0.016414042096585035,,,800,200
True,37,shade,f22,1,1,linear,1.0,1e-06,25,-1,0.9209345233630842,0.0006912243526145124,0.00044738535090587083,0.003439082996919751,,,800,200
True,37,shade,f22,1,2,linear,1.0,1e-06,25,-1,0.9470636765919148,0.0015858885111003,0.00044275978835233896,0.003308249870315194,,,800,200
True,37,shade,f22,1,3,linear,1.0,1e-06,25,-1,0.7090107252681317,0.00456606916674705,0.0015735454920347697,0.003723207861185074,,,800,200
True,37,shade,f22,1,4,linear,1.0,1e-06,25,-1,0.7907072676816922,0.000901238189143055,0.00036829689345979156,0.0037763749714940786,,,800,200
True,38,shade,f22,1,1,linear,1.0,1e-06,50,-1,0.9304192604815121,0.0006259863609257715,0.00039500973323989896,0.007189125055447221,,,800,200
True,38,shade,f22,1,2,linear,1.0,1e-06,50,-1,0.9556738918472963,0.0006941529682216017,0.00031398564508857525,0.00701808393932879,,,800,200
True,38,shade,f22,1,3,linear,1.0,1e-06,50,-1,0.7021435535888397,0.007281332871198728,0.002006026832163801,0.007485167123377323,,,800,200
True,38,shade,f22,1,4,linear,1.0,1e-06,50,-1,0.8206960174004351,0.0007125878131379211,0.00031000767257807527,0.007550750160589814,,,800,200
True,39,shade,f22,1,1,linear,1.0,1e-06,100,-1,0.9326108152703818,0.0006133320987656772,0.0003773668068267521,0.016203749924898148,,,800,200
True,39,shade,f22,1,2,linear,1.0,1e-06,100,-1,0.9535303382584566,0.003005133493460538,0.0004983089417421159,0.01603037491440773,,,800,200
True,39,shade,f22,1,3,linear,1.0,1e-06,100,-1,0.6951248781219531,0.015348374202259804,0.003187115773616858,0.016448790905997157,,,800,200
True,39,shade,f22,1,4,linear,1.0,1e-06,100,-1,0.8433030825770647,0.0006109760681799833,0.00025616778401605885,0.016534042079001665,,,800,200
True,40,shade,f22,1,1,linear,1.0,0.0001,25,-1,0.9190609765244133,0.000699294201474884,0.0004557751414012704,0.0034377090632915497,,,800,200
